Distance (mm),Temperature (K),O2 (mol/min),CH4 (mol/min),H2 (mol/min),CO (mol/min),CO2 (mol/min),H2O (mol/min)
17.59,1074.655102932828,-1.0194916693400161e-05,0.014999999999999989,0.08996058796508952,0.04407128560590026,0.001930115830115829,0.007902564102564097
17.78,1070.81507936914,2.0469083155651073e-05,0.014999999999999989,0.09000779962116709,0.044508130798834915,0.002244302348650172,0.007495547901518043
17.97,1067.927689713597,0.0,0.014914285714285703,0.0900073836276083,0.04463655891779737,0.002536947619556311,0.007098299710240003
18.16,1064.9501132815853,0.0,0.015257142857142846,0.09037859818084532,0.0443309842944367,0.0024791978878935354,0.006630052304153894
18.35,1061.8834623546566,0.0,0.015828571428571418,0.09080575062063549,0.04396219736424978,0.002071053153661847,0.0064434920179498745
18.54,1059.7844844884398,0.0,0.015828571428571418,0.09105494108478314,0.04404713761669694,0.001964765669113494,0.006513827920355555
18.73,1057.904648616461,0.0,0.015257142857142846,0.09129352010033387,0.0444904839034205,0.0019925759280089977,0.006519978736165075
18.92,1055.3956474561014,0.0,0.014914285714285703,0.09172172714745055,0.04479879979879273,0.001958155230596172,0.0063701070151354015
19.11,1052.906654102313,0.0,0.014999999999999989,0.09200440973817173,0.04455487207514748,0.0022926608482240103,0.0065708758307560615
19.3,1051.0738459028548,0.0,0.014999999999999989,0.09198180983004128,0.04421629533380052,0.002577388103166941,0.006977554780548779
19.490000000000002,1050.1158004644353,0.0,0.014999999999999989,0.09205098759761134,0.044501286516853894,0.002480321185148294,0.006679456471672028
19.68,1048.7625027264119,0.0,0.014999999999999989,0.09245080385852085,0.04470289013858428,0.002070751432750742,0.006191445680068424
19.87,1047.1849969360103,0.0,0.014999999999999989,0.09287955902618276,0.04448229248148061,0.001964426877470355,0.005901817552695569
20.060000000000002,1044.049207921217,0.0,0.015002132196162032,0.09305153881488279,0.04440882169421018,0.0019999999999999983,0.006033569823434988
20.25,1041.105295422292,0.0,0.01507462686567164,0.09297664526484745,0.04463796324389486,0.0019999999999999983,0.006464009630818618
20.439999999999998,1039.415915584415,0.0,0.014741009239516698,0.0930243178170144,0.04450050564305662,0.0019999999999999983,0.006691093632958798
20.630000000000003,1039.2511464285706,0.0,0.014263113006396577,0.09332303370786511,0.044368508698783955,0.0019999999999999983,0.0064515989220877736
20.82,1039.3602129870121,0.0,0.01392665245202557,0.09374213483146061,0.04464811899686712,0.0019999999999999983,0.005988420503084946
21.009999999999998,1038.2159564935057,0.0,0.013997441364605536,0.09399590690208662,0.04499531465319244,0.0019999999999999983,0.006147036544850489
21.2,1036.126641558441,0.0,0.013999999999999992,0.09403139887640442,0.045019016995865836,0.0019999999999999983,0.006607783578547688
21.39,1034.6662250408526,0.0,0.013999999999999992,0.09399635714285708,0.04499999999999997,0.0019999999999999983,0.006972947318462263
21.58,1033.813858278145,0.0,0.013999999999999992,0.09377992857142851,0.04494983922829579,0.0019945921586300114,0.007027052681537728
21.77,1032.8399016083247,0.0,0.013999999999999992,0.09336921428571422,0.045114928801102405,0.0019648490310950895,0.007044144696505206
21.96,1031.9147271093138,0.0,0.013999999999999992,0.0930499285714285,0.04555069702146544,0.002200068485130215,0.006884508634021794
22.15,1031.892167248645,0.0,0.013999999999999992,0.09296978571428564,0.04597656604026773,0.002574219074350723,0.006505816869057532
22.34,1031.0517623376618,0.0,0.013999999999999992,0.09299999999999993,0.04578729241181639,0.0025487181215912633,0.006475979849373614
22.53,1030.0479505256642,0.0,0.013999999999999992,0.09299999999999993,0.04530143533261417,0.0021740388129717187,0.006797982649596898
22.72,1028.7753082869506,0.0,0.013999999999999992,0.09297495987158902,0.04495023044804464,0.001942294713160854,0.007069808102345415
22.91,1028.0600344671193,0.0,0.013999999999999992,0.09301444622792931,0.04516428752070932,0.0019999999999999983,0.0070246055437100125
